>name	boxK
>description	140L thread K intermediate storage
>location	minifreezer
>plate_type	cardboard box
>temperature	-20
>>label	A	B	C	D	E	F	G	H	I	J
1	yyBla-F	K1p	KA								
2	yyBla-R	K2p	KB								
3	yyEI-F										
4	yyEI-R										
5											
6											
7											
8											
9											
10											
>>composition	A	B	C	D	E	F	G	H	I	J
1	yyBla-F	fragA	pTarg1-A								
2	yyBla-R	fragB	pTarg1-B								
3	yyEI-F										
4	yyEI-R										
5											
6											
7											
8											
9											
10											
>>concentration	A	B	C	D	E	F	G	H	I	J
1	10 uM										
2	10 uM										
3	10 uM										
4	10 uM										
5											
6											
7											
8											
9											
10											
